id	0m4A-Yqx_gk
published	2022-02-07 22:09:01
published_unix	1644271741
title	Un acuerdo y abrazo entre Mel Zelaya y Jorge Cálix pone fin a srisis legislativa
description	Con un acuerdo paridario y un abrazo entre el coordinador del Partido Libertad y Refundación (LIBRE) José Manuel Zelaya y el diputado Jorge Cálix se puso fin este lunes a la crisis legislativa derivada por la disputada de la presidencia del Congreso Nacional.
channelId	UCXhKCAGJHOd5vZ82ZzmhEow
channelTitle	Confidencial Honduras
duration	PT9M2S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	6522
likeCount	124
dislikeCount	
favoriteCount	0
commentCount	91
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
