id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgzXjMBj1yTF-SCg9tx4AaABAg	0	0	2022-02-11 17:23:50	José gracias doctora por defender al pueblo Cruz	Esa paja ni el se la creía jajaja ya no vas usar el elicoctero de juancho	UCsAB39jmDibaTy0jVRj7HMw	http://www.youtube.com/channel/UCsAB39jmDibaTy0jVRj7HMw	0		
UgzrlmEiyIAk5-bMdcN4AaABAg	0	0	2022-02-11 11:04:30	Odilia Osorto	Delincuente aliados a los corruptos	UCEGbocxAEKd3HodzcjWJxkQ	http://www.youtube.com/channel/UCEGbocxAEKd3HodzcjWJxkQ	0		
UgzD5JGXm2zymhIAKKR4AaABAg	0	0	2022-02-10 18:29:25	Jesus Garcia	Traición es traición es tarde traicionero se murió tu carrera política traidor	UCCE8Ou7wAuT8WT_BZVGB8pw	http://www.youtube.com/channel/UCCE8Ou7wAuT8WT_BZVGB8pw	0		
UgyUqFe6-xQ2hhTnEUl4AaABAg	0	0	2022-02-10 18:25:50	Jesus Garcia	Traidor	UCCE8Ou7wAuT8WT_BZVGB8pw	http://www.youtube.com/channel/UCCE8Ou7wAuT8WT_BZVGB8pw	0		
UgymuRlvPjDIUVllQux4AaABAg	0	0	2022-02-09 05:46:48	Freddy Cruz	Bola de hopicritasburlandoce del pobre pueblo que los eligio.	UC8KCL2DdJ_m_ELwcdcDNb4g	http://www.youtube.com/channel/UC8KCL2DdJ_m_ELwcdcDNb4g	0		
UgyP5bcMD5XW_Vxp6MZ4AaABAg	0	0	2022-02-09 05:37:47	Juan Zelaya	Honduras necesita buenos <a href="http://hospitales.la/">hospitales.la</a> produccion agricola.y mucho otras cosas de desarrollo.ya basta de blabla.	UCxoI0y84Q-BzdyKdTO_uIHA	http://www.youtube.com/channel/UCxoI0y84Q-BzdyKdTO_uIHA	0		
Ugy027yc18keCznCsE54AaABAg	0	0	2022-02-09 05:35:18	Juan Zelaya	Ahora a trabajar por el desarrollo de honduras.	UCxoI0y84Q-BzdyKdTO_uIHA	http://www.youtube.com/channel/UCxoI0y84Q-BzdyKdTO_uIHA	0		
Ugy4-t8Jw8bVcWbWa2N4AaABAg	0	0	2022-02-09 00:58:10	Marta baca Ordoñez	Mel sos un narco politico	UCB8RFK8KBcm8KCTMnVizAOA	http://www.youtube.com/channel/UCB8RFK8KBcm8KCTMnVizAOA	0		
UgyIFMJ6Zgz1KNPYGTp4AaABAg	0	0	2022-02-09 00:49:40	Cesar Hernandez	tu no eres servidor de este pueblo ya está claro eres un vividor y traidor jorge calix	UCp2CI0pnrzDw_WmRPiE7HDQ	http://www.youtube.com/channel/UCp2CI0pnrzDw_WmRPiE7HDQ	0		
UgwabU0UGv1ho1SLb854AaABAg	0	0	2022-02-09 00:25:30	Gloria Ortez	TODOS CORTADOS CON LA MISMA TIJERA NO LES IMPORTA EL PUEBLO SOLO LOS EXAGERADOS SUELDOS QUE GANAN POR HACER NADA IPOCRITAS	UCdkv98dsMVWtPr1uI7RRslw	http://www.youtube.com/channel/UCdkv98dsMVWtPr1uI7RRslw	0		
UgxDtWzoCAPNNXyvuuh4AaABAg	0	0	2022-02-08 15:19:07	Nohemi Padilla	Dra .Miriam Aguilera se merece la Dirección de la Región Departamental de fco.morazan mujer luchadora ,desde 2009 andaba en las calles bien gaseada y ahora se lo merece. Colectivos hay que apoyar hoy o nunca pueblo salva al pueblo.	UCiJAhZ_slG8qTze_K9wd1PA	http://www.youtube.com/channel/UCiJAhZ_slG8qTze_K9wd1PA	0		
Ugypo9tIcAUEL-RYP0B4AaABAg	0	0	2022-02-08 12:25:21	Magie Wayne	Para que allan llegado a un.acuerdo calix aceito que la da el puesto a Redondo le an de ver dado un buen puesto de gabinete del gobierno de siomara no puedacer que tan facil solto la teta por que legalmente el sigue siendo el presidente electo del congreso lo que pasa que le dieron nuca siomara hiso pacto con nasrrala a cambio de votos guiere decir que siomara esta alli gracias a nasrrala por que ajuntaron votos sacrificando a calix Sabian hondureños que lo que hiso siomara se llama dictadura por ella puso.a Redondo de presidente sin que allan votado por el asi es que hay dictadura en el gobierno de siomara guieran aceitarlo o no pero ese es el gobierno de siomara van a seguir haciendo suciedades y miren guien hace los negocios sucios por siomara su Esposito vamos de peor.en peor algo esconden estos mel y calix emppiesa un gobierno pastas arriba vamos aver que sigue mas adelante no puedacer que calix le entrego tan facil su puesto a Redondo solo para que alla pas eso ni su abuela se lo cree hay algo mas alla los discursos de mel me los arro por que esta mintiendo tiene que aparentar para ahacerle creer.a los babosos que votaron por el que esta ahaciendo un buen trabajo por el pueblo me da mucha tristesa mi pais seguimos en manos de lacras.	UCiJdupw-P-q9vJFWznAwYrw	http://www.youtube.com/channel/UCiJdupw-P-q9vJFWznAwYrw	0		
Ugw2kYODh6aXQUM-4HB4AaABAg	0	0	2022-02-08 12:11:06	T A	No olvidaremos lo que hicieron , en próximas elecciones sabremos elejir y ustedes no estarán más,	UCDdwELOCZv8aZG0YrLY39Ug	http://www.youtube.com/channel/UCDdwELOCZv8aZG0YrLY39Ug	0		
UgytjbAakh4AMESIDjJ4AaABAg	0	0	2022-02-08 12:09:33	T A	Mel Zelata como que el mandato del partido Xiomara es presidente de los Hondureños no de un partido no entiendo porque tu esposa no habla solo tu eres el que está metido en esto, Xiomara es la presidente no tu, tu no tienes que estar metiendo la cuchara la elección ya pasaron, así que ojo con lo que esten tratando de hacer, espero apoyen leyes que sea en beneficio del pueblo	UCDdwELOCZv8aZG0YrLY39Ug	http://www.youtube.com/channel/UCDdwELOCZv8aZG0YrLY39Ug	0		
Ugyd1ZrtVjD6cEM5MiJ4AaABAg	0	0	2022-02-08 12:04:28	Delmy Perez	Gloria sea Dios, Excelente es lo mejor que pudo pasar.. Felicidades sigan portandose bien, que el Rey del Universo les dará la recompensa.	UCnm4rFHW7IfpguaCXr_aKzg	http://www.youtube.com/channel/UCnm4rFHW7IfpguaCXr_aKzg	0		
UgwJQv3RvTOexVsJrut4AaABAg	0	0	2022-02-08 10:00:51	Antonio Maldonado	Este Mel es una joya.....pero haga lo que haga diga lo que diga el sr CALIX SEGUIRÁ SIENDO UN TRAIDOR UN FARISEO EL PUEBLO NO OLVIDA NO PERDONA.....	UCGQ2lhyaBV6kM5422fCq0Sg	http://www.youtube.com/channel/UCGQ2lhyaBV6kM5422fCq0Sg	0		
