id	4MJS54J1bOw
published	2022-02-07 21:04:59
published_unix	1644267899
title	HUMO BLANCO - - JORGE CALIX Y SUS SEGUIDORES VUELVEN A LIBRE Y LUIS REDONDO SERÁ PRESIDENTE DEL CN.
description	Coordinador de Libre, Manuel Zelaya Rosales y diputado Jorge Cálix, firmaron hoy el acuerdo que pondría fin a la crisis en el Congreso Nacional. “Primero está Honduras, no mi carrera política”, expresó el congresista Cálix. Diputado Jorge Cálix: "Muchos dicen que me voy para Washington, Japón, España o África, pero no, la gente votó por mí y en el Congreso me voy a quedar, siendo un soldado más" ¡HUMO BLANCO! El Coordinador del 🚨 @PartidoLibre , Manuel Zelaya Rosales, y el Diputado Jorge Cálix, firman la Unidad Partidaria para la Refundación de Honduras y la Agenda Legislativa para el Período 2022-2026. 🔔😎👌 Comenta y Comparte este vídeo con tus familiares y amigos. Suscríbete y activa la campana de notificaciones. ¡Rompamos el cerco mediático! 💎WEB OFICIAL: https://www.artesgraficas504.com 😎SÍGUENOS EN NUESTRAS REDES SOCIALES 📡 💎Facebook: https://www.facebook.com/504Artes 💎Instagram: http://bit.ly/2QGBQeoAG504 💎Twitter: https://twitter.com/504Artes 💎Pinterest: https://www.pinterest.es/artesgraficas504/pins/ 💎Tienda http://bit.ly/35kiLE6TiendaAG504 Alojamiento de Web + Hosting: https://clientes.sered.net/aff.php?aff=3291 👋 ¡GRACIAS POR TU VISITA! #Elecciones #Honduras
channelId	UCPTwJFsgmCEzUONLNBONENA
channelTitle	Artes Gráficas 504
duration	PT1H44M53S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	12106
likeCount	236
dislikeCount	
favoriteCount	0
commentCount	95
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
