id	B2emdtc6RcM
published	2022-02-08 12:00:11
published_unix	1644321611
title	JOH Extraditado? USA le quita VISA / Mel y Jorge Calix se Reúnen y regresan los Pródigos
description	#noticiasdeHonduras #sevan #Honduras
channelId	UCSW52_fJT0czvTioHdA0Oog
channelTitle	Honduras Informa
duration	PT14M53S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	24811
likeCount	919
dislikeCount	
favoriteCount	0
commentCount	185
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
