id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugy32IYQoHxpQt-krKN4AaABAg	0	1	2022-02-11 14:45:00	DANNY SCORPION	17 diputados de libre están pensando en el futuro de honduras más 44 diputados del partido nacional más los liberales🤫🤫🤫	UC9a-ElDET9mCVEYuaIS2_Vg	http://www.youtube.com/channel/UC9a-ElDET9mCVEYuaIS2_Vg	0		
Ugz9_hNjSMu1IY74nnl4AaABAg	0	0	2022-02-08 23:13:03	Mark mirand Macr0n	🐀🐀🐀🐀 traidores..	UCrD-UIbt-6Emsd9FOOQLSkg	http://www.youtube.com/channel/UCrD-UIbt-6Emsd9FOOQLSkg	0		
UgyErPN4msnkEtlCbyF4AaABAg	0	0	2022-02-08 19:32:59	producciones tu nueva voz	Apoyo a jorge calix	UCBMd6gSEL3a1u8f4KTEZTRw	http://www.youtube.com/channel/UCBMd6gSEL3a1u8f4KTEZTRw	0		
UgwD2OJVIBrDnYNE2wx4AaABAg	0	0	2022-02-08 00:51:42	Martha Chavarría	Ellos quieren los puestos estratégicos , para manipular ,no tienen que rebuznar porque dentro de la alianza se quedaron abajo de las corrientes	UCkUUkgtAsRbv31koMFW7aOw	http://www.youtube.com/channel/UCkUUkgtAsRbv31koMFW7aOw	0		
UgyK_zuuSuBLmHlEb9J4AaABAg	0	1	2022-02-07 23:39:00	Emilio Sierra	PORQUÉ NO HAN METIDO PRESOS A LOS CORRUPTOS TRAIDORES ?	UCBkauSv3DMGlOXA8bCttx_A	http://www.youtube.com/channel/UCBkauSv3DMGlOXA8bCttx_A	0		
UgzUx2w-JaRrj-nglGB4AaABAg	0	0	2022-02-07 22:55:09	Miguel Zelaya Castro	Les Cuento si no sabian a JHO le quitaron la VISA	UC0JCTn1-nXEhIJaM0H68PyA	http://www.youtube.com/channel/UC0JCTn1-nXEhIJaM0H68PyA	0		
UgxbrD2ENT9t2bCje0h4AaABAg	0	0	2022-02-07 22:23:25	el fan #1	Diputafo sabillon sos benidos de los delincuentes que tu cobrabas comp diputado pero el pueblo te pasara la cuent en las proximas elecciones	UCfppfu0ey6OHwwurWw6Gi1Q	http://www.youtube.com/channel/UCfppfu0ey6OHwwurWw6Gi1Q	0		
UgxvyLV7kR6rbcBbZlx4AaABAg	0	0	2022-02-07 22:21:20	el fan #1	Pero ustedes se hunieron a los cachurecos para seguir pisotindo al tu no estas con el pueblo si no con los bandidod	UCfppfu0ey6OHwwurWw6Gi1Q	http://www.youtube.com/channel/UCfppfu0ey6OHwwurWw6Gi1Q	0		
UgzSBxNs8UeQeXwQ9px4AaABAg	0	0	2022-02-07 20:22:17	Horacio Juarez	El pueblo decide no los corruptos	UCG8SE1Pr22SkfvtTOpIvaqg	http://www.youtube.com/channel/UCG8SE1Pr22SkfvtTOpIvaqg	0		
UgwmzTCinb_dI0EJUcx4AaABAg	0	0	2022-02-07 19:11:43	Yolanda Garcia	Por favor y todo lo que a salido allí haciendo show con yani Rosentall y en bosques de Zambrano y muchas más que van a ir saliendo poquito a poco para el pueblo hondureño son traidores y no sabemos porque los volvieron a agarrar de vuelta ojalá que la presidenta y Mel Celaya no se arrepientan de esta decisión que han tomado.!!	UCTogk7Smrn6urgTh9DErH_Q	http://www.youtube.com/channel/UCTogk7Smrn6urgTh9DErH_Q	0		
UgxOIIQ-0DkqoMpymad4AaABAg	0	0	2022-02-07 19:09:34	Je Bu	Salida viable dice, ja que risa dan, era insostenible y ellos lo saben!	UCELS75MtcLC2mjcrHn4z76w	http://www.youtube.com/channel/UCELS75MtcLC2mjcrHn4z76w	0		
Ugxo0M4kNm-Vtu_pQBx4AaABAg	0	0	2022-02-07 17:30:22	Fátima Rodríguez	No les queda de otra a los traidores que volver como el perro arrepentido no por el pueblo Es por el billete q se ganan no con el afán de generar odio mi comentario si no que lo mejor es aceptar q se equivocaron uniéndose a los cachurecos	UCiGlLtIDJzc8swV0v0Epr-Q	http://www.youtube.com/channel/UCiGlLtIDJzc8swV0v0Epr-Q	0		
Ugy7m3ASjeR1_xtTXjR4AaABAg	0	0	2022-02-07 15:31:26	Luis Molina	Nada keremos a Luis redondo y punto	UCgktKPQmw4lOu9KCRr-xtfw	http://www.youtube.com/channel/UCgktKPQmw4lOu9KCRr-xtfw	0		
