id	fgnQZgx9ouE
published	2022-02-02 20:56:07
published_unix	1643835367
title	Sale a luz porque Jorge Calix quiere ser presidente del congreso nacional de Honduras
description	BIENVENIDOS A MI CANAL DALE LIKE Y #SUSCRIBETE PARA VER MAS #NOTICIAS DE #HONDURAS EL PODER CIUDADANO https://youtube.com/channel/UCKHFAGz_HOkjjOZGwZ37xwQ
channelId	UCKHFAGz_HOkjjOZGwZ37xwQ
channelTitle	El Poder Ciudadano 2
duration	PT3M48S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	60961
likeCount	1370
dislikeCount	
favoriteCount	0
commentCount	234
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
