id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgxhVmgG_CSEFFBDwcR4AaABAg	0	0	2022-02-25 17:24:41	Francisco Garcia	Eso era de esperarse estos son unos criminales	UCszYPhEj6d39kbvggRuwB-A	http://www.youtube.com/channel/UCszYPhEj6d39kbvggRuwB-A	0		
UgxCCgMMArDoCImWio94AaABAg	0	0	2022-02-25 15:25:12	Carlos Moreno	Ni Dios lo permita..	UCqYE-25fx9lYOa8pAgZhBoQ	http://www.youtube.com/channel/UCqYE-25fx9lYOa8pAgZhBoQ	0		
UgxViPCE3L5Ii0VowuZ4AaABAg	0	0	2022-02-25 13:33:19	Ana Santos	Quiso pero no pido	UC931Wy29oKNmvQeN6QxeEhQ	http://www.youtube.com/channel/UC931Wy29oKNmvQeN6QxeEhQ	0		
UgyDxheQ3BIljotkiLl4AaABAg	0	0	2022-02-25 00:03:49	Dora Rodriguez	Porque Xiomara admitió a Jorge Calix y Beatriz Valle si ya sabían que era un infiltrado de Juan Orlando Hernández y de Ana García Carias y que su familia tienen vínculos con los narcos traficantes?! WOW 😲 padre eterno hasta cuando el pueblo hondureño seguirá sufriendo y saliendo en caravanas creyendo que en el extranjero vivirán mejor. Eso hubiera sido posible hacer 70 o 50 Años pero hoy día los saliros están bajo así como los trabajos si lograron llegar a ese supuesto sueño Americano la vida en estos lugares no es tan fácil como les an dicho. Y todo por culpa de gente como Jorge Calix y Beatriz Valle y de estos personajes está plagada Honduras 🇭🇳 y Americana Latina America Central no es por nada que decimos Bukele Bukele <br><br>Pero queridos compatriotas de nosotros dependerá ya sabemos que en el congreso todos los diputados solo ban a cobrar sus cheques por el momento al solo diputados que siempre a tenido mi estima es LUIS REDONDO ENTONCES COMPATRIOTAS EN CUATRO AÑOS NO VAYAN A VOTAR POR EL RESTO DE DIPUTADOS PORQUE UNID TIENEN MAS DE12 AÑOS de estar recibiendo cheques y que hicieron aprobar las ZEDES <br><br>DE NOSOTROS DEPENDERÁ SI LES DEJAMOS UN PAÍS LIBRE Y SOBERANO A NUESTRA DESCENDENCIA	UCQDJvLaI_F15eKr_FXI7vhA	http://www.youtube.com/channel/UCQDJvLaI_F15eKr_FXI7vhA	0		
UgzS9cvSNaueMCdTrWN4AaABAg	0	0	2022-02-24 23:15:59	Juan Acosta	Gracias a dios q. Hay gente q. Investiga algunos diputados q. Estan vinculados en honduras en corrupcion y narcotrafico en cada momento el pueblo debe conocer sus diputados q. Pretende apoyar en eleccion despierta pueblo.	UCmBsvPoyG7OWU9iShOt7V3g	http://www.youtube.com/channel/UCmBsvPoyG7OWU9iShOt7V3g	0		
UgwufP8H0H4WbLU0lo14AaABAg	0	0	2022-02-24 18:16:37	Yoni kin6 Villalobos	Vaya nosabia es familiar entonces 🤔🤔🤔	UC87sFnmS8FbkA7B3Y7pb1vQ	http://www.youtube.com/channel/UC87sFnmS8FbkA7B3Y7pb1vQ	0		
Ugx1lAPii6N_qjdy_QV4AaABAg	0	0	2022-02-24 17:37:03	Noel Isaula	Sigue la manzana podrida,	UCvlU2i7CK8pGoo_YTsZj-Fg	http://www.youtube.com/channel/UCvlU2i7CK8pGoo_YTsZj-Fg	0		
UgxPWrMY9GqeVLUP4PR4AaABAg	0	0	2022-02-24 03:14:11	Virginia Vasquez	Y entonces pues con los Calix en el poder seguimos<br>Con los Nsrcodelincuestes, en el país,	UC0K6dCJ0cgH4ot3CFIRdZSA	http://www.youtube.com/channel/UC0K6dCJ0cgH4ot3CFIRdZSA	0		
UgxmQQ_6AtvaRyvSbW94AaABAg	0	0	2022-02-21 05:22:00	Rene Cruz	Que reverenda estuoidez, sean serios hombeéé	UCuvG7tCKN_ayDoIVqIqzJqA	http://www.youtube.com/channel/UCuvG7tCKN_ayDoIVqIqzJqA	0		
UgwoUXpO1rHqV5tbCs54AaABAg	0	0	2022-02-21 03:07:04	Jose Aparicio	En Honduras hay mucha jente honesta para para cargos públicos. Pero lamentablemente los hondureños son engañados fácilmente por los pícaros. Así de sencillo.	UCHiGxyjDTzQUC5i9PvCGGjA	http://www.youtube.com/channel/UCHiGxyjDTzQUC5i9PvCGGjA	0		
