id	xH_AXJUPd0A
published	2022-02-07 22:50:10
published_unix	1644274210
title	Fin a la crisis en el Congreso de Honduras: Jorge Cálix renuncia a la presidencia del Parlamento
description	El coordinador del gobernante Libertad y Refundación (Libre) y exmandatario Manuel Zelaya firmó este lunes un acuerdo con Jorge Cálix –quien hasta hoy era uno de los presidentes del Congreso de Honduras–, lo que pone fin a la crisis de un Poder Legislativo bicéfalo. SUSCRÍBETE A RT EN ESPAÑOL ➡️ https://www.youtube.com/c/RTenEspañol/?sub_confirmation=1 RT en Twitter: https://twitter.com/ActualidadRT RT en Facebook: https://www.facebook.com/ActualidadRT RT en Telegram: https://t.me/rtnoticias RT en TikTok: https://www.tiktok.com/@actualidadrt NUESTROS OTROS CANALES RT Play en Español ▶️ https://www.youtube.com/c/RTPlayenEspañol Ahí les Va ✊ https://www.youtube.com/c/AhílesVa Documentales de RT 🎥 https://www.youtube.com/c/DocumentalesdeRT RT en Vivo 🔴 https://www.youtube.com/c/RTenvivo Keiser Report en Español 💰 https://www.youtube.com/c/KeiserReportenEspañol tech lado 📱 https://www.youtube.com/c/techlado #RTenEspañol #Honduras #Crisis
channelId	UC2mtXUpAYLYJIZ2deSPhlqw
channelTitle	RT en Español
duration	PT2M57S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	34078
likeCount	663
dislikeCount	
favoriteCount	0
commentCount	142
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
