id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugx-zB7RmVcN9_Bdksx4AaABAg	0	0	2022-02-20 16:01:14	Diablo Yt	Extraditen a joh Por favor el pueblo lo exige	UCPv6bwE5H2mqLEzyy2lGQUw	http://www.youtube.com/channel/UCPv6bwE5H2mqLEzyy2lGQUw	0		
UgwJ59nyalewu0cXUQF4AaABAg	0	0	2022-02-15 04:16:05	saint Maligno	Pobres honduritos	UCdt5pmAyxgRUL4XpPlayy-Q	http://www.youtube.com/channel/UCdt5pmAyxgRUL4XpPlayy-Q	0		
UgyykGhFrkxxFiGWsE14AaABAg	0	0	2022-02-14 18:01:15	Gabriel Valles	Si tu canal te permitiera hablar lo correcto estaría bien Pero tienes que aprenderte todas las páginas que te dan para poder hacer un periodismo	UCCMiuOaymNstg0Ak0qU5tgw	http://www.youtube.com/channel/UCCMiuOaymNstg0Ak0qU5tgw	0		
UgwZ4na6VfTZbpH5RD54AaABAg	0	0	2022-02-14 07:51:08	intraterrestre e	me alegra por los Hondureños, ahora a trabajar por las mejoras que necesita la población	UC_-W0JbULuvf9Rw2CbeNn6A	http://www.youtube.com/channel/UC_-W0JbULuvf9Rw2CbeNn6A	0		
Ugz_XaONMqNStHe_LvF4AaABAg	0	0	2022-02-14 06:02:29	Antonio goret	Parecía borracha esa presentadora	UCqysYMeHu_F-TjMl3lnmq0Q	http://www.youtube.com/channel/UCqysYMeHu_F-TjMl3lnmq0Q	0		
Ugx2u5k_MR70gBonZa54AaABAg	0	0	2022-02-14 00:06:00	Jose Gomez	Sólo yorando pasas del golpe de estado sisos unbende patria con Venezuela incuba irusia sos un gran asesino	UCT9hO68RAZi9GQOf4ddXGyg	http://www.youtube.com/channel/UCT9hO68RAZi9GQOf4ddXGyg	0		
UgxUGX5V7bJRHy7I0sx4AaABAg	0	0	2022-02-13 21:29:20	El PERRO VERDE	Nesecita asesoría visional a ese posibles escenario.	UCaTYt19xIoLm_mTS3YZAAEQ	http://www.youtube.com/channel/UCaTYt19xIoLm_mTS3YZAAEQ	0		
UgzCPTlS6_5vra5anSp4AaABAg	0	0	2022-02-13 21:28:34	El PERRO VERDE	Situaciones q se darán segun el ajeredes	UCaTYt19xIoLm_mTS3YZAAEQ	http://www.youtube.com/channel/UCaTYt19xIoLm_mTS3YZAAEQ	0		
UgxU981ouj8FLQS-4H94AaABAg	0	0	2022-02-13 21:28:02	El PERRO VERDE	Debe haber un librero de posibles de situaciones	UCaTYt19xIoLm_mTS3YZAAEQ	http://www.youtube.com/channel/UCaTYt19xIoLm_mTS3YZAAEQ	0		
Ugy4Ja9lu9gSSh8fL2R4AaABAg	0	0	2022-02-13 21:26:47	El PERRO VERDE	Manuel Celaya le falta mas visión para prevenir esos topos de situciones	UCaTYt19xIoLm_mTS3YZAAEQ	http://www.youtube.com/channel/UCaTYt19xIoLm_mTS3YZAAEQ	0		
UgxIKM93DPpS9mbrGG14AaABAg	0	0	2022-02-12 14:45:20	Ivam Gamez	Yo al judas de jorge calix no le creo nada	UCEvjyhsycMB7O8_XzW-9uGw	http://www.youtube.com/channel/UCEvjyhsycMB7O8_XzW-9uGw	0		
UgzED891o-Ad2pkh5214AaABAg	0	0	2022-02-12 04:01:32	martha mejia soriano	Ay jorge estas en la mira nadie pero nadie le tiene confiaza	UC1mYIUyZg7L_LkyCNBo3GUg	http://www.youtube.com/channel/UC1mYIUyZg7L_LkyCNBo3GUg	0		
UgxtazDCrFC5H8nQPnt4AaABAg	0	0	2022-02-12 02:51:28	Silent Montana	Esos diputados que se vendieron si los regresan para atrás son corruptos todos esos basuras	UCBsp6dFBIu1DrKRJg2n_QIw	http://www.youtube.com/channel/UCBsp6dFBIu1DrKRJg2n_QIw	0		
UgwqcOvcts60y89uKXB4AaABAg	0	0	2022-02-12 00:30:05	Roberto Lopez Rodriguez	A este descarado el pueblo lo voto y ahora la mujer el mismo votar con diferente pueblo	UCZO4phPWWcMyob4PY0KhBig	http://www.youtube.com/channel/UCZO4phPWWcMyob4PY0KhBig	0		
UgyYa2RWr4nQpJkwpq54AaABAg	0	0	2022-02-11 06:19:27	John Hamilton	GRACIAS A DIOS EN &#39;EL NOMBRE DE CRISTO JESUS ! HALLELUJAH ! AMEN !! .<br>En primer lugar : El pueblo es primero y su seguridad y bienestar es ESENCIAL .<br>Y como decia ( EPD.) profe Chelato &quot;&quot;EL MUNDO HABLARA BIEN DE HONDURAS &quot;&quot; 💘 😂	UCQ5O6wmofL0FP0O3TbXQZDg	http://www.youtube.com/channel/UCQ5O6wmofL0FP0O3TbXQZDg	0		
UgwrBV5wIDrCSTTM_cF4AaABAg	0	1	2022-02-10 03:55:19	Omar Martimez	Como pueden dialogar con mañosos por qué no le dicen a calix que entregue las narco libretas	UCyW0HEMgp6LBO2fbdxjkkFQ	http://www.youtube.com/channel/UCyW0HEMgp6LBO2fbdxjkkFQ	0		
UgzwDdZ8d5TYp9Pc3TZ4AaABAg	0	1	2022-02-09 21:05:46	Oscar Hernandez	Es inlegal .tienen que votar obligado .aver si tiene los 65 votos eso asi es fraude .no sirve .	UCjiu6_wLGefkyfMMFokGVag	http://www.youtube.com/channel/UCjiu6_wLGefkyfMMFokGVag	0		
UgwV9WxuzG7gkTzwmqZ4AaABAg	0	1	2022-02-09 19:55:14	Mario Guevara Callejas	Chanchullo completo en honduras. Esos no son líderes NUNCA. El titiritero es Zelaya	UCWTOuQhYInQbU8eoWkmw3pQ	http://www.youtube.com/channel/UCWTOuQhYInQbU8eoWkmw3pQ	0		
UgyuzdI-YZTNlPh7VU14AaABAg	0	0	2022-02-09 19:51:29	Williams Oviedo	I que ase mel alli.lo Ban a sacar en calzones otra ves	UCOdpdJjU__5r_hvwQZxjHDg	http://www.youtube.com/channel/UCOdpdJjU__5r_hvwQZxjHDg	0		
UgwVvgoGqDWnFgfI3794AaABAg	0	2	2022-02-09 18:52:44	lobo	Quien es el presidente de Honduras mel Zelaya o xiomara castro	UC_pOwm8xSlTp5Auti3L119A	http://www.youtube.com/channel/UC_pOwm8xSlTp5Auti3L119A	0		
Ugzz-vcHfCzs6qk9lrV4AaABAg	0	2	2022-02-09 14:16:38	Miguel Angel	Como se puede renunciar a algo que no es de uno porque no se lo a ganado🤔	UC9Q54AG4ex1Wzv7nFZQNFbA	http://www.youtube.com/channel/UC9Q54AG4ex1Wzv7nFZQNFbA	0		
Ugzp-FFU1HCmhjON2qx4AaABAg	0	1	2022-02-09 13:46:53	Abi Cuellar	Sancionarlos es que deberían haber hecho ,y no darle un puesto en el congreso.	UC-YIrZH1j6UtC9qsr0ovvmA	http://www.youtube.com/channel/UC-YIrZH1j6UtC9qsr0ovvmA	0		
UgxsiZWx3YArDSNgTdp4AaABAg	0	6	2022-02-09 13:41:21	grevin esquivel	DESDE CSTA RICA DESEO LO MEJOR PARA MIS HERMANOS HONDUREÑOS , SOBRE TODO PARA LOS MAS POBRES .	UC6TU_YnQFt8HfhIliR0h7sA	http://www.youtube.com/channel/UC6TU_YnQFt8HfhIliR0h7sA	0		
