id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugzyd0238Y2Vq913qo94AaABAg	0	0	2022-02-08 13:32:33	John Hamilton	CHARLATAN .con la gran crisis que por la cual a pasado el Pais y continua pasando y el amor dices sentir y tu posicion es darle tu espalda y hacer la herida MAS PROFUNDA .	UCQ5O6wmofL0FP0O3TbXQZDg	http://www.youtube.com/channel/UCQ5O6wmofL0FP0O3TbXQZDg	0		
UgyzBVmysrhDOvmnIct4AaABAg	0	0	2022-02-07 23:39:30	Allan Andino	A este largo hay mandar a China.	UCcmOPx4i-T9BsLh7wrCk94g	http://www.youtube.com/channel/UCcmOPx4i-T9BsLh7wrCk94g	0		
UgzSLzUP29DRxD_o0FR4AaABAg	0	0	2022-02-07 00:44:38	Topacio Ucles	Exiliado?	UCkW41StdtIz1oamZW50f_ZQ	http://www.youtube.com/channel/UCkW41StdtIz1oamZW50f_ZQ	0		
UgyWs4BBmqtiLGEXPmt4AaABAg	0	0	2022-02-06 20:08:23	Luis Amaya	Yo no estoy de acuerdo que le den a calix nada no se lo merece a prisión debería ir por usurpador de poderes <br>El hondureño es como dice Juan Orlando es pendejo con una carne asada y una cerceza los pajean por eso estamos como estamos.mire a bukele tiene metido a presidentes en el mamo las maras y nadie habla de las maras siguen extorsionado matando secuestrando.el gobierno no hace nada.Con eso.	UCHCytrGSBDsu-x4I8dia8IQ	http://www.youtube.com/channel/UCHCytrGSBDsu-x4I8dia8IQ	0		
UgzJE4zKCnoanqrJSNl4AaABAg	0	0	2022-02-06 18:40:15	Alfresh contruccion	La mera verdad póngase de acuerdo por el vien del pueblo y no en beneficio de unos pocos	UC5OyI_fh1ITlZvQYjae2F5w	http://www.youtube.com/channel/UC5OyI_fh1ITlZvQYjae2F5w	0		
UgwvUYJX430iU99tN7d4AaABAg	0	0	2022-02-06 15:41:55	Luis Alberto Baquedano	Que el pueblo expulse a los disidentes,para que se pierdan del congreso	UC6tCHDCJMYKOxqK6hwozizQ	http://www.youtube.com/channel/UC6tCHDCJMYKOxqK6hwozizQ	0		
UgwDox2MPbfEQY1FFph4AaABAg	0	0	2022-02-06 13:49:17	Edgardo Hernanded	Ci as estado no as denunciation nada sos parts Delos corrutos	UChW1Y2u3e_uJkPDulobnkXg	http://www.youtube.com/channel/UChW1Y2u3e_uJkPDulobnkXg	0		
UgxEBQpuSKhgCFA0NTV4AaABAg	0	0	2022-02-06 12:06:30	Milton Martínez	Jorge calix otro mafioso socio de Juan Orlando hernandez	UCwi0_I0plqtb3vjdxyz7IOQ	http://www.youtube.com/channel/UCwi0_I0plqtb3vjdxyz7IOQ	0		
UgzxMyaRNBqbRHT2xIh4AaABAg	0	0	2022-02-06 07:26:46	Carlos Rivera	Que lo mande a la franja de Gaza de donde es los de la oligarquia para que lo bendigan los sionistas	UCzPcVB5EXeSZVwtYqqaKRdw	http://www.youtube.com/channel/UCzPcVB5EXeSZVwtYqqaKRdw	0		
UgzjNVn8KtcmIVQNDjJ4AaABAg	0	0	2022-02-06 05:28:11	marcio gutierrez	Y éste pato de donde cayó. Y protegiendo a los ya corruptos.	UCgThEQ1-7_SfzGzG5NDsn4A	http://www.youtube.com/channel/UCgThEQ1-7_SfzGzG5NDsn4A	0		
Ugyp2fm_Qwqe_IHRfSl4AaABAg	0	0	2022-02-06 05:16:26	Janeth Solano	Ke putas Le van adar un puesto por eso a sen sus mamadas para afuera y ya	UCb3Y1fFjZryZhE3V6Jlf8kA	http://www.youtube.com/channel/UCb3Y1fFjZryZhE3V6Jlf8kA	0		
Ugw8XJmqWywPb-qX0Ml4AaABAg	0	0	2022-02-06 04:04:52	Miriam Garcia	Doble cara combatiendo y se fue de daga	UC7WLtyD1Wca-Pnbux6vaFEg	http://www.youtube.com/channel/UC7WLtyD1Wca-Pnbux6vaFEg	0		
UgwEjKT92xPiF05Uo5B4AaABAg	0	1	2022-02-06 03:48:06	Cielo Rojo	Que lo manden a Washington...y lo tengan bien vigiladito de cerquita...ya que puede sar el Sarpazo.	UCxvIWJxfbNSRGaDKg56pNJQ	http://www.youtube.com/channel/UCxvIWJxfbNSRGaDKg56pNJQ	0		
