id	xl0s-qSoqjs
published	2022-02-03 01:50:51
published_unix	1643853051
title	Jorge Calix queda SOLO!!
description	Los diputados del PN vuelven al congreso y dejan que LIBRE ordene su propia casa!!
channelId	UCB7X_ZxIX-e7OPIrBV6hPag
channelTitle	Kedwin Guillén
duration	PT4M14S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	
viewCount	37561
likeCount	338
dislikeCount	
favoriteCount	0
commentCount	260
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
