id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgyD_OYZ7OrxM0bSqV94AaABAg	0	0	2022-02-08 03:49:37	Dilcia Ponce	Estan cagados estos cachureco porque mucho de ellos van presos jaja ja ridiculis sinvergüenzas dios ara. Justicia para honduras	UC9EgN_Zb6hTd6buSzEc88lA	http://www.youtube.com/channel/UC9EgN_Zb6hTd6buSzEc88lA	0		
UgzjjkARgK08GTp3L8J4AaABAg	0	0	2022-02-08 01:43:29	adilio Castellanos (JAC)	Sino esos cachos el pueblis los sacara a esos vagos de congreso a patadas no los ocupamos	UChvwM-DFkGFyEIamIQJUg0Q	http://www.youtube.com/channel/UChvwM-DFkGFyEIamIQJUg0Q	0		
UgzW57a_K9vaxZY7QGl4AaABAg	0	0	2022-02-07 19:59:17	Raul Contreras Meza	Este partido nacional que tanto daño le hizo al pueblo hondureño tiene que desaparecer con todos sus diputados pues son corruptos	UCsAh6uzip1LyrlkY5JJQ6Ww	http://www.youtube.com/channel/UCsAh6uzip1LyrlkY5JJQ6Ww	0		
UgxNA0XugcqICfQUkqp4AaABAg	0	0	2022-02-07 05:43:24	Wilson Arias	Y ustedes cachos porque apoyan a calix cuando en sus caras les decía narcos.que se tienen tramado porque ustedes son delincuentes.	UCifulEQHDXP_eiInfhqqdbA	http://www.youtube.com/channel/UCifulEQHDXP_eiInfhqqdbA	0		
Ugzlr-Yp_k8lOgIz_zl4AaABAg	0	0	2022-02-06 23:29:59	German Reyes	Mejor saquen a todos los diputados dejen uno por departamento si lleve está misión al el congreso	UCbShyS4zPsjkGS40jgRaE6Q	http://www.youtube.com/channel/UCbShyS4zPsjkGS40jgRaE6Q	0		
Ugw5LGyNaC1szxxysTl4AaABAg	0	0	2022-02-06 22:27:47	Antonio Castillo	Los nacionalistas son unos corruptos traidores como Jorge Calix	UCpIKCUAoibUfwDRPs_To_jA	http://www.youtube.com/channel/UCpIKCUAoibUfwDRPs_To_jA	0		
UgyEpuEIXy-WFpO9yZl4AaABAg	0	0	2022-02-06 21:59:35	Armando Menjivar	ESTOS CACHOS DAN RISA..TIRANDOSELAS DE SOLOCIONADORES<br><br>FUERON Y SON PARTE DEL PROBLEMA Y AHORA QUIEREN SER SOLUCION	UCq1Np4YzqWyqnVIwf8eDHpg	http://www.youtube.com/channel/UCq1Np4YzqWyqnVIwf8eDHpg	0		
UgyaJzBAvVy2Hs1WJuh4AaABAg	0	0	2022-02-06 21:57:49	Jorge Erazo Jereda	Los narcos que molestan.	UCwidYq-KCDW9C_1L922T52Q	http://www.youtube.com/channel/UCwidYq-KCDW9C_1L922T52Q	0		
Ugx7SjN3F3h_cHJx9KF4AaABAg	0	0	2022-02-06 21:52:42	Armando Menjivar	Los DICTADORES Y LADRONES LLAMANDO AL DIALOGO...PATÉTICOS	UCq1Np4YzqWyqnVIwf8eDHpg	http://www.youtube.com/channel/UCq1Np4YzqWyqnVIwf8eDHpg	0		
UgxcEyHnpYsjOJnsHeF4AaABAg	0	0	2022-02-06 20:49:29	Carlos Munoz	LAS CRISIS ES LL QUE SE HAN ROBADO SR ZAMBRANO PICARO EN JEFE DE LA BANDA AZUL	UCnl463oJ7Ah_A8_hJF1MLzQ	http://www.youtube.com/channel/UCnl463oJ7Ah_A8_hJF1MLzQ	0		
UgylOF6RUhacIgD2TNJ4AaABAg	0	0	2022-02-06 18:31:38	Jacinta Dormes	asies estos 17 diputados son corructos no los dejen entrar en el congreso porque ellos elijieron aliarse con los cacho fuera corructo yo no les creo que se arrepientan	UC4qmV0ubouXi5OS7z8YMTsA	http://www.youtube.com/channel/UC4qmV0ubouXi5OS7z8YMTsA	0		
UgwFPltiehPViyjB-5F4AaABAg	0	0	2022-02-06 16:53:15	Maria Luisa Regalado	Ya provocaron el conflicto, ya lograron lo que querían dejan solo a CALIX, ¿aliados de la democracia?	UC4AgXBgedzoORIIsrNcK7EQ	http://www.youtube.com/channel/UC4AgXBgedzoORIIsrNcK7EQ	0		
UgwHqf7KGNDoQMiWo_B4AaABAg	0	0	2022-02-06 04:17:15	Norman Vega	El.pueblo.no.negosea.con.delincuentes	UCpljxC6r35uNzXebb_UWuFw	http://www.youtube.com/channel/UCpljxC6r35uNzXebb_UWuFw	0		
UgzNU5LBQTk7Xmx5Tth4AaABAg	0	0	2022-02-06 02:00:40	Kleny Banegas	Crisis que ustedes fomentaron y como libre no da el brazo a torcer ahora quieren tapar el sol con un dedo.	UCQ_kPaQJK8qIkj1_lokcOGw	http://www.youtube.com/channel/UCQ_kPaQJK8qIkj1_lokcOGw	0		
UgyqrKpVaRqkdCY0KQV4AaABAg	0	1	2022-02-06 00:04:28	Ramon Zelaya	😂😂😂😂😂💪💪💪💪💪 Viva el Presidente Luis Redondo !!!!!	UCxCx15EKP_N_e0sbj7DOHdg	http://www.youtube.com/channel/UCxCx15EKP_N_e0sbj7DOHdg	0		
UgxJFU1O3gwC23nyMZd4AaABAg	0	0	2022-02-05 18:38:52	J G S Hernandez	esos mañosos como no pudieron hacer nada engañando a esos traidores,ahora asaber que estan planeando hacer.son astutos como las serpientes.	UCOEGJkqtxZmyRLK6mnFXLmg	http://www.youtube.com/channel/UCOEGJkqtxZmyRLK6mnFXLmg	0		
UgzF7dYzuUQ4Op2aO9B4AaABAg	0	1	2022-02-05 16:46:58	Emilio Sierra	NO HAY NINGUNA CRISIS . EL CONGRESO ESTÁ TRABAJANDO BIEN	UCBkauSv3DMGlOXA8bCttx_A	http://www.youtube.com/channel/UCBkauSv3DMGlOXA8bCttx_A	0		
Ugy1ela3oHiS4kHE0Ex4AaABAg	0	1	2022-02-05 16:46:17	Emilio Sierra	EL CONGRESO ESTÁ TRABAJANDO BIEN<br>¡¡ FUERA DEL CONGRESO CORRUPTOS !!	UCBkauSv3DMGlOXA8bCttx_A	http://www.youtube.com/channel/UCBkauSv3DMGlOXA8bCttx_A	0		
UgzGbNQG-JP5xuvvr_14AaABAg	0	1	2022-02-05 16:45:30	Emilio Sierra	¡¡ NO DIALOGO !!<br>¡¡ NO NEGOCIAR !#<br>¡¡ FUERA DEL CONGRESO CORRUPTOS !!	UCBkauSv3DMGlOXA8bCttx_A	http://www.youtube.com/channel/UCBkauSv3DMGlOXA8bCttx_A	0		
UgzDvCAqwI6sq7TAhgN4AaABAg	0	0	2022-02-05 15:50:46	Jose luis Amaya	Diputados nacionalistas no obedescan ordenes d lideres mafiosos o color politico xfavor apoyan a xiomara	UCWhQDb5Qccp7TqXQA8FH1uQ	http://www.youtube.com/channel/UCWhQDb5Qccp7TqXQA8FH1uQ	0		
